name,value
Under 1,price_u_1
Under 3,price_u_3
Under 5,price_u_5
Under 10,price_u_10
Under 50,price_u_50
Under 100,price_u_100
1 to 3,vol_b_1_3
1 to 5,vol_b_3_5
1 to 10,vol_b_5_10
10 to 50,vol_b_10_50
50 to 100,vol_b_50_100
Over 1,price_o_1
Over 3,price_o_3
Over 5,price_o_5
Over 10,price_o_10
Over 50,price_o_50
Over 100,vol_o_100
