name,value
Postive (>0%),ernqtrgrth_up
Negative (<0%),ernqtrgrth_d
0% to 5%,ernqtrgrth_up_0_5
% to 10%,ernqtrgrth_up_5_10
10% to 50%,ernqtrgrth_up_10_50
50% to 100%,ernqtrgrth_up_50_100
Under +25%,ernqtrgrth_up_25
Under +50%,ernqtrgrth_up_50
Under +100%,ernqtrgrth_up_100
Over +100%,ernqtrgrth_o_100
0% to -5%,ernqtrgrth_down_0_5
w -5% to -10%,ernqtrgrth_down_5_10
-10% to -50%,ernqtrgrth_down_10_50
-50% to -100%,ernqtrgrth_down_50_100
