ticker,company,country
IDHC.L,INTEGRATED DIAGNOSTICS HOLDINGS,Jersey
NVCR,NovoCure Limited,Jersey
WANSF,WANDISCO PLC,Jersey
XLMDF,XLMEDIA PLC,Jersey
CELTF,CENTAMIN PLC,Jersey
TMT.L,TMT INVESTMENTS PLC ORD NPV,Jersey
POFCY,PETROFAC UNSP ADR EA REPR 1/2 O,Jersey
LYDIF,LYDIAN INTERNATIONAL LIMITED,Jersey
GAMB,Gambling.com Group Limited,Jersey
CMCL,Caledonia Mining Corporation Pl,Jersey
CNSRF,COINSHARES INTERNATIONAL LTD,Jersey
