ticker,company,country
CPYYY,CENTRICA SPON ADR EACH REPR 4 O,United Kingdom
CPWHF,CERES POWER HOLDINGS PLC,United Kingdom
CMPGF,COMPASS GROUP PLC,United Kingdom
COIHY,CRODA INTERNATIONAL UNSP ADS EA,United Kingdom
DGEAF,DIAGEO,United Kingdom
ESYJY,EASYJET SPON ADR EA REP 4 ORD N,United Kingdom
EDVMF,ENDEAVOUR MINING PLC,United Kingdom
EMNSF,ELEMENTIS,United Kingdom
GPEAF,GREAT PORTLAND ESTATES,United Kingdom
LDNXF,LONDON STOCK EXCHANGE GROUP,United Kingdom
LNSTY,LONDON STOCK EXCHANGE GROUP UNS,United Kingdom
FAMDF,FUTURA MEDICAL,United Kingdom
PFODF,PREMIER FOODS,United Kingdom
FQVTF,FEVERTREE DRINKS PLC,United Kingdom
PSDMF,GAMING REALMS PLC,United Kingdom
IPZYF,IP GROUP,United Kingdom
PTHRF,PANTHEON RESOURCES,United Kingdom
GCLMF,GCM RESOURCES PLC,United Kingdom
LGGNY,LEGAL & GENERAL GROUP SPON ADR,United Kingdom
LGGNF,LEGAL & GENERAL GROUP,United Kingdom
GFSZY,G4S PLC,United Kingdom
SMGZY,SMITHS GROUP PLC SPON ADR EA RE,United Kingdom
SMGKF,SMITHS GROUP PLC,United Kingdom
RNUGF,RENEURON GROUP,United Kingdom
MITFY,MITIE GROUP UNSP ADR EACH REPR,United Kingdom
MAKSF,MARKS & SPENCER GROUP,United Kingdom
IKTSY,INTERTEK GROUP UNSP ADR EACH RE,United Kingdom
IKTSF,INTERTEK GROUP,United Kingdom
ICHGF,INTERCONTINENTAL HOTELS GROUP,United Kingdom
HDGHF,HAYDALE GRAPHENE INDUSTRIES PLC,United Kingdom
HLMAF,HALMA,United Kingdom
HRGLF,HARGREAVES LANSDOWN,United Kingdom
HAYPY,HAYS PLC UNSPON ADR EA REPR 10,United Kingdom
HCHDF,HOCHSCHILD MINING PLC,United Kingdom
HKMPY,HIKMA PHARMACEUTICALS SPON ADR,United Kingdom
HRCXF,HURRICANE ENERGY PLC,United Kingdom
HWDJF,HOWDEN JOINERY GROUP PLC,United Kingdom
IFPJF,INFORMA PLC,United Kingdom
IFJPY,INFORMA PLC SPON ADR EACH REPR,United Kingdom
IMIAY,IMI SPON ADR EA REPR 2 ORD,United Kingdom
IOFNF,IOFINA PLC,United Kingdom
IQEPF,IQE PLC,United Kingdom
ITMPF,ITM POWER,United Kingdom
ITVPY,ITV UNSP ADR EACH REPR 10 ORD,United Kingdom
ITVPF,ITV,United Kingdom
STJPF,ST JAMES'S PLACE,United Kingdom
JUBPF,JUBILEE METALS GROUP PLC,United Kingdom
KZMYY,KAZ MINERALS PLC,United Kingdom
DELRF,DE LA RUE,United Kingdom
SLFPF,ABRDN PLC,United Kingdom
MONDY,MONDI PLC ADR EACH REPR 2 ORD,United Kingdom
MONDF,MONDI PLC,United Kingdom
NNOCF,NANOCO GROUP,United Kingdom
NMHLY,NMC HEALTH PLC UNSP ADR EACH RE,United Kingdom
NXFNF,NEXT 15 GROUP PLC,United Kingdom
OCDGF,OCADO GROUP PLC,United Kingdom
PMOIF,HARBOUR ENERGY PLC,United Kingdom
OXFCF,VELOCYS PLC,United Kingdom
PSORF,PEARSON,United Kingdom
PSMMY,PERSIMMON UNSP ADR EACH REPR 2,United Kingdom
PSMMF,PERSIMMON,United Kingdom
ROXIF,CASPIAN SUNRISE PLC,United Kingdom
TSCDF,TESCO,United Kingdom
SPNUF,SPIRENT COMMUNICATIONS,United Kingdom
SOCLF,PHAROS ENERGY PLC,United Kingdom
SEGXF,SEGRO PLC,United Kingdom
RTPPF,RIO TINTO,United Kingdom
RTOXF,ROTORK,United Kingdom
RTMVY,RIGHTMOVE UNSP ADR EACH REP 2 O,United Kingdom
RKLIF,RENTOKIL INITIAL,United Kingdom
UNLYF,UNILEVER PLC,United Kingdom
SGGEF,SAGE GROUP,United Kingdom
PUK-P,Prudential Public Limited Compa,United Kingdom
RBGPF,RECKITT BENCKISER GROUP PLC,United Kingdom
RTNTF,RIO TINTO LIMITED,United Kingdom
RTMVF,RIGHTMOVE,United Kingdom
RLXXF,RELX PLC,United Kingdom
SCGPY,SERCO GROUP SPN ADR EACH REP 1,United Kingdom
SHNWF,SCHRODERS PLC,United Kingdom
SQZZF,SERICA ENERGY PLC,United Kingdom
STRNY,SEVERN TRENT SPON ADR EACH REPR,United Kingdom
VODPF,VODAFONE GROUP,United Kingdom
WEGRY,WEIR GROUP SPON ADR EACH REP 0.,United Kingdom
LIN,Linde plc,United Kingdom
ARBKF,ARGO BLOCKCHAIN PLC,United Kingdom
GENI,Genius Sports Limited,United Kingdom
FTCH,Farfetch Limited,United Kingdom
ILIKF,ILIKA PLC,United Kingdom
DRKTF,DARKTRACE PLC,United Kingdom
DRNG,DRONE GUARDER INC,United Kingdom
RLLCF,ROLLS ROYCE HOLDINGS NON CUM RE,United Kingdom
MYOV,Myovant Sciences Ltd.,United Kingdom
FRLN,Freeline Therapeutics Holdings,United Kingdom
NSAV,NET SAVINGS LINK INC,United Kingdom
ORTX,Orchard Therapeutics plc,United Kingdom
MREO,Mereo BioPharma Group plc,United Kingdom
TLSA,Tiziana Life Sciences Ltd,United Kingdom
CMPS,COMPASS Pathways Plc - American,United Kingdom
PSFE,Paysafe Limited,United Kingdom
MFGP,Micro Focus Intl PLC,United Kingdom
NCNA,NuCana plc,United Kingdom
CPRI,Capri Holdings Limited,United Kingdom
CLVT,Clarivate Plc,United Kingdom
KNSA,"Kiniksa Pharmaceuticals, Ltd.",United Kingdom
DAVA,Endava plc,United Kingdom
VVPR,VivoPower International PLC,United Kingdom
AUTL,Autolus Therapeutics plc,United Kingdom
AY,Atlantica Sustainable Infrastru,United Kingdom
VACC,Vaccitech plc,United Kingdom
NVT,nVent Electric plc,United Kingdom
VTEX,VTEX,United Kingdom
ATCO,Atlas Corp.,United Kingdom
ACHL,Achilles Therapeutics plc,United Kingdom
BLLYF,BLUEJAY MINING PLC,United Kingdom
CWK,Cushman & Wakefield plc,United Kingdom
FSTX,"F-star Therapeutics, Inc.",United Kingdom
EJTTF,EASYJET,United Kingdom
RKLY,Rockley Photonics Holdings Limi,United Kingdom
VRNA,Verona Pharma plc,United Kingdom
BPRMF,BLUE PRISM GROUP PLC,United Kingdom
CENH,Centricus Acquisition Corp.,United Kingdom
BCYC,Bicycle Therapeutics plc,United Kingdom
CNTA,Centessa Pharmaceuticals plc,United Kingdom
VNTR,Venator Materials PLC,United Kingdom
ARQQ,Arqit Quantum Inc.,United Kingdom
APM,Aptorum Group Limited,United Kingdom
RNW,ReNew Energy Global plc,United Kingdom
CZOO,Cazoo Group Ltd,United Kingdom
ARBK,Argo Blockchain plc,United Kingdom
EXAI,Exscientia Plc,United Kingdom
DROOF,DELIVEROO PLC,United Kingdom
NWG,NatWest Group plc,United Kingdom
WPLCF,WISE PLC,United Kingdom
IHS,IHS Holding Limited,United Kingdom
TRMD,TORM plc,United Kingdom
MTP,Midatech Pharma PLC,United Kingdom
RELX,RELX PLC PLC,United Kingdom
WIZEY,WISE PLC SPON ADS EACH REP 1 OR,United Kingdom
WPP,WPP plc,United Kingdom
NWINF,NAKED WINES PLC,United Kingdom
