ticker,company,country
HKCVF,HK ELEC INVS&HK ELEC INVS LTD,Hong Kong
HKBNF,HKBN LTD,Hong Kong
KTHGF,KANTONE HLDGS,Hong Kong
KRRYF,KERRY LOGISTICS NETWORK LIMITED,Hong Kong
KLYCY,KUNLUN ENERGY COMPANY LIMITED U,Hong Kong
KUNUF,KUNLUN ENERGY COMPANY LIMITED,Hong Kong
SNLAY,SINO LAND CO ADR-EACH CNV INTO,Hong Kong
LNVGF,LENOVO GROUP LIMITED,Hong Kong
PCWLF,PCCW LIMITED,Hong Kong
TTNDF,TECHTRONIC INDUSTRIES CO,Hong Kong
TSYHY,TRAVELSKY TECHNOLOGY ADR EACH R,Hong Kong
MOAEF,MONGOLIA ENERGY CORP LTD,Hong Kong
MTRJF,MTR CORPORATION LTD,Hong Kong
NDVLY,NEW WORLD DEVELOPMENT CO SPON A,Hong Kong
WOSSF,WATER OASIS GROUP,Hong Kong
OROVF,ORIENT OVERSEAS INT,Hong Kong
MAORF,MANDARIN ORIENTAL INTERNATIONAL,Hong Kong
VPGLF,VALUE PARTNERS GROUP LTD,Hong Kong
PCFBY,PACIFIC BASIN SHIPPING LTD UNSP,Hong Kong
PCFBF,PACIFIC BASIN SHIPPING LTD,Hong Kong
PUKPF,PRUDENTIAL,Hong Kong
TJIPF,TIANJIN PORT DEVELOPMENT HDGS.,Hong Kong
RNHEF,CHINA DILI GROUP,Hong Kong
SWRAY,SWIRE PACIFIC ADR EACH REP 1'A',Hong Kong
TSYHF,TRAVELSKY TECHNOLOGY,Hong Kong
VTKLY,VTECH HLDGS UNSP ADR EACH REPR,Hong Kong
WARFY,WHARF(HLDGS) ADR EA REP 2 ORD H,Hong Kong
WHGRF,WH GROUP LIMITED,Hong Kong
CHDGF,COSCO SHIPPING INT (HK) CO LTD,Hong Kong
TKAT,"Takung Art Co., Ltd.",Hong Kong
FUTU,Futu Holdings Limited,Hong Kong
BRQS,"Borqs Technologies, Inc.",Hong Kong
MSC,Studio City International Holdi,Hong Kong
EEGI,ELINE ENTERTAINMENT GROUP INC,Hong Kong
SGOC,"SGOCO Group, Ltd",Hong Kong
MLCO,Melco Resorts & Entertainment L,Hong Kong
BTNB,Bridgetown 2 Holdings Limited,Hong Kong
OCG,Oriental Culture Holding LTD,Hong Kong
ICLK,iClick Interactive Asia Group L,Hong Kong
ALBHF,ALIBABA HEALTH INFORMATION TECH,Hong Kong
CLPS,CLPS Incorporation,Hong Kong
CHNR,"China Natural Resources, Inc.",Hong Kong
HCM,HUTCHMED (China) Limited,Hong Kong
BNSO,Bonso Electronics International,Hong Kong
BRNE,BORNEO RESOURCE INVESTMENTS LTD,Hong Kong
SLCR,Silver Crest Acquisition Corpor,Hong Kong
WHGLY,WH GROUP LIMITED SPON ADR EACH,Hong Kong
BTWN,Bridgetown Holdings Limited,Hong Kong
RGC,Regencell Bioscience Holdings L,Hong Kong
VOBIF,VOBILE GROUP LTD,Hong Kong
DEH,D8 Holdings Corp.,Hong Kong
SHZHY,SHENZHOU INTERNATIONAL GROUP HL,Hong Kong
CGNMF,CGN MINING COMPANY LTD,Hong Kong
UCL,uCloudlink Group Inc.,Hong Kong
AGMH,AGM Group Holdings Inc.,Hong Kong
CHNVF,CHINA YOUZAN LTD,Hong Kong
LYL,Dragon Victory International Li,Hong Kong
MTC,"MMTec, Inc.",Hong Kong
MPAC,Model Performance Acquisition C,Hong Kong
DSAC,Duddell Street Acquisition Corp,Hong Kong
VEII,VALUE EXCHANGE INTL INC,Hong Kong
GXYYY,GALAXY ENTERTAINMENT GROUP LIMI,Hong Kong
CLWT,Euro Tech Holdings Company Limi,Hong Kong
GRFXY,GRAPHEX GROUP LTD SPON ADS EACH,Hong Kong
HKIB,AMTD International Inc.,Hong Kong
CCAC,CITIC Capital Acquisition Corp.,Hong Kong
TROO,"TROOPS, Inc.",Hong Kong
TOP,TOP Financial Group Limited,Hong Kong
KRFG,KING RES INC,Hong Kong
ILAG,Intelligent Living Application,Hong Kong
AIU,Meta Data Limited,Hong Kong
HIHO,Highway Holdings Limited,Hong Kong
MEGL,Magic Empire Global Limited,Hong Kong
GRFX,Graphex Group Limited,Hong Kong
AGBA,AGBA Group Holding Limited,Hong Kong
TPSRF,TOPSPORTS INTERNATIONAL HOLD,Hong Kong
PRE,Prenetics Global Limited,Hong Kong
SMIH,Summit Healthcare Acquisition C,Hong Kong
BSGA,Blue Safari Group Acquisition C,Hong Kong
MGIH,Millennium Group International,Hong Kong
WLGS,"Wang & Lee Group, Inc.",Hong Kong
ACBA,Ace Global Business Acquisition,Hong Kong
SNGSF,SINGAMAS CONTAINER HLDGS,Hong Kong
BSAQ,Black Spade Acquisition Co,Hong Kong
HYBT,HEYU BIOLOGICAL TECHNOLOGY CORP,Hong Kong
BDWBY,BUDWEISER BREWING COMPANY APAC,Hong Kong
PWM,Prestige Wealth Inc.,Hong Kong
PBTDF,PLOVER BAY TECHNOLOGIES LTD,Hong Kong
