ticker,company,country
SB,"Safe Bulkers, Inc",Monaco
CMRE,Costamare Inc.,Monaco
CMRE-PD,Costamare Inc. 8.75% Series D C,Monaco
STNG,Scorpio Tankers Inc.,Monaco
NMM,Navios Maritime Partners LP,Monaco
CMRE-PC,Costamare Inc. Perpetual Prefer,Monaco
CMRE-PB,Costamare Inc. Perpetual Prefer,Monaco
SB-PC,"Safe Bulkers, Inc Cumulative Re",Monaco
SB-PD,"Safe Bulkers, Inc Perpetual Pre",Monaco
NETI,Eneti Inc.,Monaco
