ticker,company,country
UTOLF,SHIFTCARBON INC,British Virgin Islands
ORXGF,ORCA ENERGY GROUP INC,British Virgin Islands
ATMA.L,ATLAS MARA LIMITED ORD NPV (DI),British Virgin Islands
TLOFF,TALON METALS CORPORATION,British Virgin Islands
SIHL.L,SYMPHONY INTERNATIONAL HOLDINGS,British Virgin Islands
SYNNF,SYMPHONY INTERNATIONAL HLDGS LT,British Virgin Islands
HLOGF,HELIUM ONE GLOBAL LTD,British Virgin Islands
DESP,"Despegar.com, Corp.",British Virgin Islands
PRTG,Portage Biotech Inc.,British Virgin Islands
