name,value
Technology,technology
Financial Services,financial-services
Consumer Cyclical,consumer-cyclical
Communication Services,communication-services
Consumer Defensive,consumer-defensive
Industrials,industrials
Basic Materials,basic-materials
Healthcare,healthcare
Energy,energy
Real Estate,real-estate
Utilities,utilities
Consumer Goods,consumer-goods
Conglomerates,conglomerates
Services,services
Financial,financial
Industrial Goods,industrial-goods
