name,value
Low (Under 1%),epsny_u
High (>25%),epsny_u_25
1% to 10%,epsny_u_1_10
10% to 20%,epsny_u_1_20
20% to 30%,epsny_u_20_30
Under 30%,epsny_u_30
Above 30%,epsny_o_30
