name,value
Staffing & Outsourcing Services,staffing-outsourcing-services
Foreign Utilities,foreign-utilities
Gambling,gambling
Music & Video Stores,music-video-stores
Investment Brokerage - National,investment-brokerage-national
Shipping,shipping
"Specialty Retail, Other",specialty-retail-other
Oil & Gas Drilling,oil-gas-drilling
Diversified Machinery,diversified-machinery
Internet Information Providers,internet-information-providers
"Discount, Variety Stores",discount-variety-stores
Specialized Health Services,specialized-health-services
Business Services,business-services
Regional - Midwest Banks,regional-midwest-banks
Application Software,application-software
Infrastructure Operations,infrastructure-operations
Technical Services,technical-services
Coking Coal,coking-coal
Oil & Gas Pipelines,oil-gas-pipelines
Diversified Utilities,diversified-utilities
"Air Services, Other",air-services-other
Diversified Investments,diversified-investments
Business Software & Services,business-software-services
Textile - Apparel Footwear & Accessories,textile-apparel-footwear-accessories
Closed-End Fund - Equity,closed-end-fund-equity
Processed & Packaged Goods,processed-packaged-goods
Drug Stores,drug-stores
Management Services,management-services
Medical Appliances & Equipment,medical-appliances-equipment
Networking & Communication Devices,networking-communication-devices
Industrial Metals & Minerals,industrial-metals-minerals
CATV Systems,catv-systems
Trucks & Other Vehicles,trucks-other-vehicles
REIT - Office,reit-office
Home Furnishings & Fixtures,home-furnishings-fixtures
Medical Practitioners,medical-practitioners
Electronic Equipment,electronic-equipment
Semiconductor - Integrated Circuits,semiconductor-integrated-circuits
Internet Service Providers,internet-service-providers
Drug Manufacturers - Other,drug-manufacturers-other
Healthcare Information Services,healthcare-information-services
Diagnostic Substances,diagnostic-substances
Property Management,property-management
Diversified Computer Systems,diversified-computer-systems
Food - Major Diversified,food-major-diversified
Real Estate Development,real-estate-development
Long Distance Carriers,long-distance-carriers
Drug Manufacturers - Major,drug-manufacturers-major
Home Improvement Stores,home-improvement-stores
Information & Delivery Services,information-delivery-services
Sporting Activities,sporting-activities
Agricultural Chemicals,agricultural-chemicals
